question_id,chapter_id,question,option_a,option_b,option_c,option_d,correct_option,difficulty
q001,ch0,Evaluate lim(x→2) (x²−4)/(x−2),2,4,0,undefined,b,easy
q002,ch0,Evaluate lim(x→0) sin(x)/x,0,1,undefined,∞,b,medium
q003,ch0,Evaluate lim(x→∞) (3x²+2)/(x²+1),0,1,3,∞,c,medium
q004,ch0,A function f is continuous at x=a if:,f(a) exists only,lim x→a f(x) exists only,f(a) = lim x→a f(x),f is differentiable at a,c,easy
q005,ch0,Evaluate lim(x→1) (x³−1)/(x−1),1,2,3,undefined,c,medium
q006,ch0,Which limit is an indeterminate 0/0 form?,lim x→0 x/1,lim x→0 sin(x)/x,lim x→5 (x+1),lim x→2 (x−2)/(x+2),b,medium
q007,ch0,Evaluate lim(x→0⁺) 1/x,0,1,∞,−∞,c,easy
q008,ch0,The Intermediate Value Theorem requires the function to be:,"Differentiable on [a,b]","Continuous on [a,b]","Increasing on [a,b]","Bounded on [a,b]",b,easy
q009,ch1,Find d/dx[5x⁴ − 3x² + 7],20x³−6x,20x³−3x,5x³−6x,20x⁴−6x,a,easy
q010,ch1,Find d/dx[x⁵],x⁴,5x⁴,5x⁵,x⁵/5,b,easy
q011,ch1,Find d/dx[7],7,0,1,x,b,easy
q012,ch1,Find d/dx[3x^(1/2)],3/2 √x,3/(2√x),3√x,3/2 x^(3/2),b,medium
q013,ch1,Find d/dx[1/x²],−2/x³,2/x³,−1/x³,1/x³,a,medium
q014,ch1,The derivative of a sum f(x)+g(x) is:,f'(x)·g'(x),f'(x)+g'(x),f'(x)−g'(x),always 0,b,easy
q015,ch1,Find d/dx[10x² − 4x + 1],20x−4,10x−4,20x+4,10x²−4,a,easy
q016,ch1,The power rule states d/dx[x^n] =,nx^(n−1),x^(n−1),nx^n,(n−1)x^n,a,easy
q017,ch2,Find d/dx[(2x+5)⁴],4(2x+5)³,8(2x+5)³,8(2x+5)⁴,2(2x+5)³,b,medium
q018,ch2,Find d/dx[sin(3x)],cos(3x),3cos(3x),−3cos(3x),3sin(3x),b,medium
q019,ch2,Find d/dx[e^(2x)],e^(2x),2e^(2x),2xe^(2x),e^(2x)/2,b,medium
q020,ch2,Find d/dx[ln(x²+1)],1/(x²+1),2x/(x²+1),2x,x/(x²+1),b,medium
q021,ch2,"For x²+y²=25, find dy/dx implicitly",x/y,−x/y,−y/x,y/x,b,hard
q022,ch2,Find d/dx[cos(x²)],−2x sin(x²),2x sin(x²),−sin(x²),−2x cos(x²),a,medium
q023,ch2,The chain rule states d/dx[f(g(x))] =,f'(g(x)),f'(g(x))·g'(x),f'(x)·g'(x),f(g'(x)),b,easy
q024,ch2,"For xy=10, find dy/dx implicitly",y/x,−y/x,−x/y,x/y,b,hard
