student_id,chapter_id,mastery
student_001,ch0,0.0
student_001,ch1,0.667
student_001,ch2,0.0
student_001,ch3,0.75
student_001,ch4,0.0
student_001,ch5,0.0
student_001,ch6,0.75
student_001,ch7,0.333
student_002,ch0,0.333
student_002,ch1,0.333
student_002,ch2,0.667
student_002,ch3,0.0
student_002,ch4,0.75
student_002,ch5,0.333
student_002,ch6,0.333
student_002,ch7,0.0
student_003,ch0,0.75
student_003,ch1,0.97
student_003,ch2,0.333
student_003,ch3,0.667
student_003,ch4,0.97
student_003,ch5,0.97
student_003,ch6,0.0
student_003,ch7,0.75
student_004,ch0,0.333
student_004,ch1,0.0
student_004,ch2,0.0
student_004,ch3,0.0
student_004,ch4,0.667
student_004,ch5,0.333
student_004,ch6,0.0
student_004,ch7,0.0
student_005,ch0,0.0
student_005,ch1,0.0
student_005,ch2,0.0
student_005,ch3,0.97
student_005,ch4,0.97
student_005,ch5,0.0
student_005,ch6,0.0
student_005,ch7,0.0
student_006,ch0,0.0
student_006,ch1,0.0
student_006,ch2,0.0
student_006,ch3,0.333
student_006,ch4,0.0
student_006,ch5,0.75
student_006,ch6,0.0
student_006,ch7,0.333
student_007,ch0,0.0
student_007,ch1,0.0
student_007,ch2,0.97
student_007,ch3,0.333
student_007,ch4,0.333
student_007,ch5,0.0
student_007,ch6,0.0
student_007,ch7,0.97
student_008,ch0,0.0
student_008,ch1,0.333
student_008,ch2,0.75
student_008,ch3,0.0
student_008,ch4,0.667
student_008,ch5,0.97
student_008,ch6,0.667
student_008,ch7,0.0
student_009,ch0,0.0
student_009,ch1,0.0
student_009,ch2,0.667
student_009,ch3,0.333
student_009,ch4,0.0
student_009,ch5,0.97
student_009,ch6,0.333
student_009,ch7,0.97
student_010,ch0,0.0
student_010,ch1,0.75
student_010,ch2,0.333
student_010,ch3,0.333
student_010,ch4,0.0
student_010,ch5,0.333
student_010,ch6,0.0
student_010,ch7,0.75
student_011,ch0,0.0
student_011,ch1,0.0
student_011,ch2,0.0
student_011,ch3,0.333
student_011,ch4,0.333
student_011,ch5,0.333
student_011,ch6,0.75
student_011,ch7,0.333
student_012,ch0,0.333
student_012,ch1,0.75
student_012,ch2,0.0
student_012,ch3,0.333
student_012,ch4,0.0
student_012,ch5,0.0
student_012,ch6,0.0
student_012,ch7,0.333
student_013,ch0,0.333
student_013,ch1,0.97
student_013,ch2,0.0
student_013,ch3,0.0
student_013,ch4,0.0
student_013,ch5,0.0
student_013,ch6,0.0
student_013,ch7,0.0
student_014,ch0,0.0
student_014,ch1,0.75
student_014,ch2,0.0
student_014,ch3,0.667
student_014,ch4,0.667
student_014,ch5,0.667
student_014,ch6,0.667
student_014,ch7,0.0
student_015,ch0,0.75
student_015,ch1,0.667
student_015,ch2,0.333
student_015,ch3,0.0
student_015,ch4,0.333
student_015,ch5,0.0
student_015,ch6,0.0
student_015,ch7,0.333
student_016,ch0,0.97
student_016,ch1,0.0
student_016,ch2,0.333
student_016,ch3,0.97
student_016,ch4,0.0
student_016,ch5,0.333
student_016,ch6,0.0
student_016,ch7,0.0
student_017,ch0,0.0
student_017,ch1,0.97
student_017,ch2,0.0
student_017,ch3,0.333
student_017,ch4,0.75
student_017,ch5,0.0
student_017,ch6,0.97
student_017,ch7,0.97
student_018,ch0,0.0
student_018,ch1,0.333
